ENSG00000223972 2540
ENSG00000227232 15166
ENSG00000278267 67
ENSG00000243485 1555
ENSG00000284332 137
ENSG00000237613 1527
ENSG00000268020 839
ENSG00000240361 6518
ENSG00000186092 6166
ENSG00000238009 44428
ENSG00000239945 1554
ENSG00000233750 3811
ENSG00000268903 754
ENSG00000269981 283
ENSG00000239906 549
ENSG00000241860 32388
ENSG00000222623 103
ENSG00000241599 1079
ENSG00000279928 1478
ENSG00000279457 10194
ENSG00000273874 67
ENSG00000228463 101817
ENSG00000286448 1800
ENSG00000236679 384
ENSG00000236601 7195
ENSG00000237094 157539
ENSG00000269732 362
ENSG00000284733 994
ENSG00000233653 2805
ENSG00000250575 2016
ENSG00000278757 103
ENSG00000230021 241725
ENSG00000235146 7139
ENSG00000225972 371
ENSG00000225630 1043
ENSG00000237973 1542
ENSG00000278791 88
ENSG00000229344 681
ENSG00000240409 206
ENSG00000248527 680
ENSG00000198744 546
ENSG00000268663 423
ENSG00000284662 994
ENSG00000229376 2811
ENSG00000228327 52741
ENSG00000223181 103
ENSG00000229905 1078
ENSG00000237491 31318
ENSG00000285268 113
ENSG00000230092 16833
ENSG00000177757 2466
ENSG00000228794 43064
ENSG00000225880 1316
ENSG00000230368 8832
ENSG00000234711 1057
ENSG00000283040 2705
ENSG00000272438 11142
ENSG00000230699 3513
ENSG00000241180 800
ENSG00000223764 4151
ENSG00000187634 20653
ENSG00000188976 15106
ENSG00000187961 5135
ENSG00000187583 9383
ENSG00000187642 6889
ENSG00000272512 2085
ENSG00000188290 1210
ENSG00000187608 13402
ENSG00000231702 153
ENSG00000224969 1196
ENSG00000188157 35998
ENSG00000242590 1083
ENSG00000217801 9647
ENSG00000273443 1080
ENSG00000237330 3339
ENSG00000131591 34543
ENSG00000285812 7013
ENSG00000223823 7039
ENSG00000207730 94
ENSG00000207607 89
ENSG00000198976 82
ENSG00000272141 986
ENSG00000205231 6499
ENSG00000162571 24051
ENSG00000186891 3084
ENSG00000186827 2813
ENSG00000078808 15159
ENSG00000176022 2804
ENSG00000184163 4276
ENSG00000260179 1557
ENSG00000160087 19976
ENSG00000230415 5197
ENSG00000162572 11593
ENSG00000131584 17219
ENSG00000278073 60
ENSG00000169972 3080
ENSG00000127054 13106
ENSG00000283712 64
ENSG00000240731 1108
ENSG00000224051 4140
ENSG00000169962 4034
ENSG00000107404 14142
ENSG00000284372 58
ENSG00000162576 9088
ENSG00000175756 1765
ENSG00000223663 366
ENSG00000221978 13624
ENSG00000224870 2526
ENSG00000242485 5384
ENSG00000264293 292
ENSG00000272455 1522
ENSG00000235098 3349
ENSG00000225905 2446
ENSG00000205116 1659
ENSG00000225285 4034
ENSG00000179403 8021
ENSG00000215915 20474
ENSG00000160072 26083
ENSG00000284740 6202
ENSG00000197785 22523
ENSG00000205090 5846
ENSG00000160075 33190
ENSG00000215014 2973
ENSG00000274481 399
